unit,group,model,how,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
FIFA World Cup 2022,men_intl,GBM_LOC,none,1144,124,0.2897879994115203,0.08415159673202714,0.0028636182587069153,0.015354889148568376,0.0966428676218886,0.020114012005157562,0.7784353257432005,0.07308746773154189,1.0054501173012536,1.058707302826746
FIFA World Cup 2022,men_intl,GBM_LOC,recal,1144,124,0.29263446811536503,0.08459563557049814,0.00330765709717791,0.015354889148568376,0.0966428676218886,0.023614093438576445,0.7784353257432005,0.10160799288201658,0.7963225434435781,1.0766260704192923
FIFA World Cup 2022,men_intl,GBM_GEO,none,1144,124,0.2676400955921019,0.07776771041151952,0.0035633664942699983,0.022438523704639085,0.0966428676218886,0.023240726987029697,0.8220351043643265,0.12582701805546373,1.0808083874668697,1.098242508832424
FIFA World Cup 2022,men_intl,GBM_GEO,recal,1144,124,0.267757147099941,0.07756593450506671,0.0033615905878171953,0.022438523704639085,0.0966428676218886,0.022909934356446192,0.8220351043643265,0.16423694200381111,0.96705908697504,1.1246016790295397
Frauen Bundesliga 2023/2024,women_club,GLM_LOC,none,2904,324,0.29014562103725616,0.08406633742325656,0.0016313001163531793,0.016687290402952498,0.09912232770985588,0.015353419278109634,0.7921858551057518,0.012461180241024945,1.043624663902022,1.0096026071610593
Frauen Bundesliga 2023/2024,women_club,GLM_LOC,recal,2904,324,0.31032055895706884,0.09074593285955644,0.008310895552653061,0.016687290402952498,0.09912232770985588,0.06378296108361994,0.7921858551057518,-0.6510528826454189,0.8757016141252532,0.638836244291538
Frauen Bundesliga 2023/2024,women_club,GLM_GEO,none,2904,324,0.2706714247089223,0.07774910496584585,0.0015801183738971408,0.022953341117907172,0.09912232770985588,0.013117404366702539,0.818761364723897,0.04229708089163138,1.0201646547456618,1.0307335461983498
Frauen Bundesliga 2023/2024,women_club,GLM_GEO,recal,2904,324,0.29242381150020924,0.08255463817515028,0.0063856515832015764,0.022953341117907172,0.09912232770985588,0.06672936530387705,0.818761364723897,-0.5721788630806934,1.4253441050647337,0.6496393217763952
Frauen Bundesliga 2023/2024,women_club,GBM_LOC,none,2904,324,0.2880091854137914,0.08364797610233339,0.0017024558076164376,0.017176807415138926,0.09912232770985588,0.013355305438993912,0.7933845344052063,0.011502552317853347,1.040164600427961,1.0088080963179211
Frauen Bundesliga 2023/2024,women_club,GBM_LOC,recal,2904,324,0.30756641924052996,0.09052781376159706,0.008582293466880109,0.017176807415138926,0.09912232770985588,0.06171395050819749,0.7933845344052063,-0.6420235800727456,0.8672084176738006,0.6458805145574057
Frauen Bundesliga 2023/2024,women_club,GBM_GEO,none,2904,324,0.266622760361417,0.07617813268651213,0.0019714912334103107,0.024915686256754055,0.09912232770985588,0.018852208444679226,0.8228442913197435,0.05442299544671394,1.052964587415206,1.0395816546917933
Frauen Bundesliga 2023/2024,women_club,GBM_GEO,recal,2904,324,0.2880955130203214,0.08091655420653968,0.006709912753437852,0.024915686256754055,0.09912232770985588,0.0658761605559823,0.8228442913197435,-0.5707126651578274,1.4131071176405359,0.6529129126482741
Indian Super league 2021/2022,men_club,GLM_LOC,none,2642,271,0.28626490505989366,0.0806129761236754,0.0016531057175432212,0.01309255128481951,0.0920524216909517,0.017680570110957257,0.7560210165576983,0.12183563523476906,0.8874441733453723,1.0991233247196062
Indian Super league 2021/2022,men_club,GLM_LOC,recal,2642,271,0.29156846658978597,0.08250887642519891,0.0035490060190667277,0.01309255128481951,0.0920524216909517,0.03193905095322446,0.7560210165576983,-0.10380678869167782,1.6069622411202347,0.9153409165506702
Indian Super league 2021/2022,men_club,GLM_GEO,none,2642,271,0.27358781599715826,0.07759850886085466,0.0017619988086853694,0.0162159116387824,0.0920524216909517,0.017633309385567907,0.788790131680313,0.13609999856391797,0.8701340399196388,1.1046594476410807
Indian Super league 2021/2022,men_club,GLM_GEO,recal,2642,271,0.2776826761716456,0.07888596285274012,0.003049452800570826,0.0162159116387824,0.0920524216909517,0.027776464967406767,0.788790131680313,-0.11236810651475546,1.467495520957958,0.9114773147242604
Indian Super league 2021/2022,men_club,GBM_LOC,none,2642,271,0.2860459475601353,0.0801952849957549,0.0017034733161418875,0.01356061001133868,0.0920524216909517,0.020181294858639526,0.7545176105493656,0.12421590529898924,0.8641868853921889,1.1001101629981245
Indian Super league 2021/2022,men_club,GBM_LOC,recal,2642,271,0.2905087339393461,0.08203271069799264,0.0035408990183796313,0.01356061001133868,0.0920524216909517,0.031691177935416946,0.7545176105493656,-0.12979399176050638,1.5379339513322645,0.8959132259894936
Indian Super league 2021/2022,men_club,GBM_GEO,none,2642,271,0.27252073030733087,0.0775348574758936,0.002091095775322835,0.016608659990380928,0.0920524216909517,0.020051102169964467,0.7928583545641446,0.14580415404547384,0.8579528010265706,1.1104605828132685
Indian Super league 2021/2022,men_club,GBM_GEO,recal,2642,271,0.27767953173574456,0.07870823723219311,0.003264475531622346,0.016608659990380928,0.0920524216909517,0.03284070684311587,0.7928583545641446,-0.14801217371962677,1.515574424491958,0.8849939325072125
La Liga 2015/2016,men_club,GLM_LOC,none,8449,890,0.27539890726682204,0.079972181034476,0.0010568536733252948,0.015326507207139892,0.09424183456829059,0.01615370401520468,0.8027433627003155,0.0971809823841796,1.1147041738047896,1.0788132053067792
La Liga 2015/2016,men_club,GLM_LOC,recal,8449,890,0.2807316268902977,0.08099158645981672,0.0020762590986660168,0.015326507207139892,0.09424183456829059,0.024942694365379485,0.8027433627003155,0.15433854145243023,0.7364078216362512,1.1091848105436113
La Liga 2015/2016,men_club,GLM_GEO,none,8449,890,0.25730033092212257,0.0745533619758293,0.0008145330815883811,0.020503005674049668,0.09424183456829059,0.009869356028732325,0.8319097258866951,0.001120408965649734,1.066487288312235,1.000811008524227
La Liga 2015/2016,men_club,GLM_GEO,recal,8449,890,0.2677333946645123,0.07697622302652031,0.0032373941322793864,0.020503005674049668,0.09424183456829059,0.028115146769062547,0.8319097258866951,-0.04513912592969379,0.6757769928100869,0.9742209135027274
La Liga 2015/2016,men_club,GBM_LOC,none,8449,890,0.272930206431525,0.07945688494653477,0.0010426057545446787,0.015827555376300498,0.09424183456829059,0.015923025583205578,0.8086581811100987,0.10381363903490287,1.1212433403654511,1.0842174653713985
La Liga 2015/2016,men_club,GBM_LOC,recal,8449,890,0.28119820015211927,0.08087576120053235,0.002461482008542251,0.015827555376300498,0.09424183456829059,0.030171915030625277,0.8086581811100987,0.17375376789313093,0.6961295008246963,1.1188061029677887
La Liga 2015/2016,men_club,GBM_GEO,none,8449,890,0.25531384397817264,0.07383136714505574,0.0008318597160756891,0.02124232713931054,0.09424183456829059,0.009813465244799532,0.8349004312145207,-0.009331635512917123,1.0650431696389713,0.9933332021192848
La Liga 2015/2016,men_club,GBM_GEO,recal,8449,890,0.26267591073845387,0.07572279709032774,0.0027232896613476887,0.02124232713931054,0.09424183456829059,0.02816532563092464,0.8349004312145207,0.012060566221014892,0.7237470178327997,1.0070961433155257
Liga F 2023/2024,women_club,GLM_LOC,none,5692,656,0.29919002971754,0.0869671853048411,0.0012033651586902255,0.01620321178435137,0.10196703193050224,0.01450498541669786,0.7888899617873264,0.14306964583448473,0.9941808234322297,1.1156583582193254
Liga F 2023/2024,women_club,GLM_LOC,recal,5692,656,0.3008543855324947,0.08753598646650466,0.0017721663203537907,0.01620321178435137,0.10196703193050224,0.02277387126899857,0.7888899617873264,-0.23250371588022412,0.9565900186797345,0.8429955869688313
Liga F 2023/2024,women_club,GLM_GEO,none,5692,656,0.27967625716322303,0.08213948753524081,0.001514866510370777,0.021342410905632214,0.10196703193050224,0.016986316302905907,0.8269714155640365,0.17878815087835748,1.0183365254006809,1.1381762745806252
Liga F 2023/2024,women_club,GLM_GEO,recal,5692,656,0.27983209462423286,0.08212271903697205,0.001498098012102017,0.021342410905632214,0.10196703193050224,0.017711777356436142,0.8269714155640365,-0.18489534237810937,0.9921039583397532,0.879037912730357
Liga F 2023/2024,women_club,GBM_LOC,none,5692,656,0.2922642923124244,0.08597977035235313,0.0012338338918529007,0.017221095470002015,0.10196703193050224,0.015150527989083451,0.8008963511497703,0.12999382545180402,1.061358374545219,1.1044043648030304
Liga F 2023/2024,women_club,GBM_LOC,recal,5692,656,0.2938888693393124,0.08658151453666765,0.001835578076167424,0.017221095470002015,0.10196703193050224,0.022047182736939498,0.8008963511497703,-0.23627740726282356,0.9749625690995661,0.8431388953994549
Liga F 2023/2024,women_club,GBM_GEO,none,5692,656,0.2741169453320113,0.08083105091953496,0.0014077124827709675,0.02254369349373825,0.10196703193050224,0.018256566276377586,0.8336758872701913,0.16230902805174172,1.0598438878392629,1.1235179768189982
Liga F 2023/2024,women_club,GBM_GEO,recal,5692,656,0.2747942778403061,0.08096817358849924,0.0015448351517352438,0.02254369349373825,0.10196703193050224,0.01974911522460536,0.8336758872701913,-0.2131964165320123,1.0200074429429928,0.8639357488395162
Ligue 1 2015/2016,men_club,GLM_LOC,none,8043,811,0.27439810451551455,0.07827113294127744,0.0010326802391929096,0.013427271374655839,0.09066572407674037,0.013166263815244066,0.7825254145161115,0.14791702566596027,1.051612333025209,1.1248762933367151
Ligue 1 2015/2016,men_club,GLM_LOC,recal,8043,811,0.28341929069854727,0.08066054898065957,0.0034220962785750375,0.013427271374655839,0.09066572407674037,0.03505898741452901,0.7825254145161115,0.5145309791162089,1.1126826709072468,1.5291225738318706
Ligue 1 2015/2016,men_club,GLM_GEO,none,8043,811,0.2568490215721206,0.07295577393468572,0.0010018284191104926,0.01871177856116514,0.09066572407674037,0.011999548576373942,0.8151258484008598,-0.025526748035856445,1.0622541768630636,0.981104462706055
