group,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp,design,split
men_club,statsbomb_xg,38613,3751,0.24974627753671094,0.07095541337230338,0.0003896808561875825,0.017140866878788755,0.08770659939490455,0.009658636471560168,0.8200682177866371,0.04397207846468997,1.0454523716534745,1.0330678040902734,within,
men_intl,GLM_LOC,7184,654,0.2618242484560207,0.07339292132827274,0.0010263399644385302,0.010381566586820781,0.082748147950655,0.01204971723666404,0.7719861518936362,-0.10762979474276846,0.9556481825171391,0.9185052156252748,within,
men_intl,GLM_GEO,7184,654,0.24741420864930816,0.06963637377354288,0.0008886964140953496,0.014000470591207459,0.082748147950655,0.009579251959711167,0.803563417021416,-0.08262985667320027,0.9610326286677983,0.9397963146664172,within,
men_intl,GBM_LOC,7184,654,0.25971127616237155,0.07310570921376214,0.0009170639336904401,0.010559502670583296,0.082748147950655,0.011181050178081344,0.776756887758686,-0.0993142641949039,0.9870233348769788,0.9242105658604115,within,
men_intl,GBM_GEO,7184,654,0.24638529122816433,0.06948843122801945,0.0008422437965722451,0.014101960519207785,0.082748147950655,0.008400994487230085,0.8058068851829476,-0.0765354124400408,0.9674652542579218,0.9443305820324507,within,
men_intl,statsbomb_xg,7184,654,0.24670445312295744,0.06886649855933274,0.0008148707175529984,0.014696520108875247,0.082748147950655,0.011713351204443074,0.7999530513133923,-0.04008950168373104,1.0178725264230246,0.9699815822294947,within,
women_club,GLM_LOC,27452,2964,0.29268398475628854,0.08423748234369009,0.0005282816462591627,0.012603494324597259,0.09631269502202819,0.009026468360170244,0.7708266099432987,-0.02971662628587395,0.9385843008126281,0.9774721846900407,within,
women_club,GLM_GEO,27452,2964,0.2777965709925838,0.08008710220320026,0.0003854671997776393,0.016611060018605572,0.09631269502202819,0.007583377973029775,0.8018621365566808,0.049426690630438155,0.940463080992084,1.036443382426654,within,
women_club,GBM_LOC,27452,2964,0.2888485265479,0.08359403074272669,0.00039420216617164217,0.013112866445473145,0.09631269502202819,0.006591426097297668,0.7795130576500937,-0.0310104221700624,0.9827280522864462,0.9764316369902315,within,
women_club,GBM_GEO,27452,2964,0.2747597694925885,0.07936536310491617,0.00040450689420405694,0.017351838811316078,0.09631269502202819,0.007784475438253616,0.8062825726203278,0.04932231715066133,0.9695734436230563,1.0366184005566639,within,
women_club,statsbomb_xg,27452,2964,0.2772989087102261,0.07929934956897264,0.0005215986209810841,0.017534944074036635,0.09631269502202819,0.010560658578716582,0.7992496104291463,0.06916696512629532,1.0065634601181446,1.0526622882361156,within,
women_intl,GLM_LOC,4521,428,0.2657430526220797,0.07547035483877772,0.001211106205236373,0.011447791984643851,0.0857070406181852,0.014228375544626677,0.7801472082493248,-0.15668791624174808,0.9975474561784301,0.8846954602376759,within,
women_intl,GLM_GEO,4521,428,0.24481121517395324,0.06937109746347306,0.0010461005918035449,0.017382043746515682,0.0857070406181852,0.010249380905757331,0.818443730006325,-0.013048157184586781,1.041436187138746,0.990332996607527,within,
women_intl,GBM_LOC,4521,428,0.2645252538751856,0.07505559691705765,0.0013642006753368519,0.012015644376464393,0.0857070406181852,0.015748709741365986,0.7826138083940899,-0.16145026936977563,1.0077371635958532,0.8813977311623955,within,
women_intl,GBM_GEO,4521,428,0.243417167359618,0.06881815463070362,0.00119901478869551,0.018087900776177085,0.0857070406181852,0.012047211478178744,0.8215628004046115,-0.034749816564060496,1.0499944274385473,0.9746074055469459,within,
women_intl,statsbomb_xg,4521,428,0.24740215968352428,0.06974169211202617,0.0012804166977277431,0.017245765203886765,0.0857070406181852,0.01399893596714569,0.8158281405910707,0.003780677121404894,1.1205091690574545,1.0028931349940269,within,
men_intl,GLM_LOC,7184,654,0.26294773872841076,0.07366921235488434,0.0014862544554622853,0.010565190051232937,0.082748147950655,0.015556883998600652,0.7734751628569154,-0.17459767724535746,0.8962384459266691,0.8734425918057905,cross,men_club
men_intl,GLM_GEO,7184,654,0.2475461706862595,0.06969074630675591,0.0008562321958279356,0.013913633839727019,0.082748147950655,0.009900292289902567,0.804434484922564,-0.06034356347037326,0.923425612163616,0.9561670650999039,cross,men_club
men_intl,GBM_LOC,7184,654,0.2609430303198734,0.07332455892917916,0.000988886110296322,0.010412475131772153,0.082748147950655,0.0145162695365009,0.7752081664957313,-0.16212540585634042,0.966628823006542,0.8800999357150731,cross,men_club
men_intl,GBM_GEO,7184,654,0.24686898095183096,0.0695410206132364,0.0011369562108318465,0.014344083548250439,0.082748147950655,0.011035744815584638,0.803821693337267,-0.057819747684011914,0.9585255366150016,0.9576932628907435,cross,men_club
men_intl,statsbomb_xg,7184,654,0.24670445312295744,0.06886649855933276,0.0008148707175530123,0.014696520108875247,0.082748147950655,0.011713351204443074,0.7999530513133923,-0.04008950168374286,1.0178725264230246,0.9699815822294949,cross,men_club
