design,split,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
loco_sub,FA Women's Super League 2018/2019,GLM_GEO,2696,285,0.3047250912807389,0.08635370482028792,0.004208479562608558,0.012391878837628337,0.0945371040953077,0.02727971615647549,0.7647798467550043,-0.18957944792230375,0.6572040901845065,0.876183844221629
loco_sub,FA Women's Super League 2018/2019,GBM_LOC,2696,285,0.2996404692391239,0.08671125699377245,0.00296326498050814,0.01078911208204339,0.0945371040953077,0.021997908945326484,0.7598303099099885,-0.14820262811098855,0.7530656726046842,0.896332883356532
loco_sub,FA Women's Super League 2018/2019,GBM_GEO,2696,285,0.29961349405451476,0.08672054857919811,0.003937244026805356,0.011753799542914944,0.0945371040953077,0.026775715889026486,0.7647711148464277,-0.1598210032469107,0.7022190582723851,0.8937717715840124
loco_sub,FA Women's Super League 2018/2019,statsbomb_xg,2696,285,0.2921544652227948,0.08358746292281491,0.0018982440392358163,0.01284788521172861,0.0945371040953077,0.016979596979096383,0.7655147823935616,0.034978991057863215,0.8466802698302253,1.0268322469690694
loco_sub,FA Women's Super League 2019/2020,GLM_LOC,2129,228,0.2915465664657107,0.08479414047447188,0.0019578559821984975,0.01278743686576049,0.09562372135803388,0.01366914773329554,0.7743569866275366,-0.030262461686678104,0.8716731740362135,0.9775755012755215
loco_sub,FA Women's Super League 2019/2020,GLM_GEO,2129,228,0.28080892114980727,0.08142927650608167,0.0020556723791668313,0.016250117231119035,0.09562372135803388,0.01454575257560268,0.7996529988833209,0.09272492206917568,0.8552412127685437,1.0688222272922645
loco_sub,FA Women's Super League 2019/2020,GBM_LOC,2129,228,0.28874796912486933,0.08422085492719898,0.001675970343313779,0.013078836774148672,0.09562372135803388,0.011643360915049875,0.7814688944876658,-0.034829727795224315,0.9239472195845108,0.9739044690452469
loco_sub,FA Women's Super League 2019/2020,GBM_GEO,2129,228,0.2772368593507641,0.08093235047545075,0.0020858371025471445,0.01677720798513027,0.09562372135803388,0.014477020550885716,0.8091701505209633,0.06717985060406113,0.8924522529645983,1.0492467733046265
loco_sub,FA Women's Super League 2019/2020,statsbomb_xg,2129,228,0.2828579645068066,0.08130038705913249,0.0018919348781154671,0.01621526917701685,0.09562372135803388,0.014110332035351112,0.7914209511152948,0.059767293662699575,0.8878353162514927,1.0444913191469687
loco_sub,FA Women's Super League 2020/2021,GLM_LOC,3117,356,0.3042442048198334,0.08768965644549133,0.0016621829193440574,0.015140441585174233,0.1011679151113215,0.0166022781154204,0.7632473171664721,-0.05976748777208217,0.9268399927762875,0.9559405138886631
loco_sub,FA Women's Super League 2020/2021,GLM_GEO,3117,356,0.2859407932436471,0.08236886348169484,0.0020983538955694075,0.020897405525196075,0.1011679151113215,0.01680932340590464,0.7973885866137086,0.024467387612931206,0.9719690528545857,1.0178827203376632
loco_sub,FA Women's Super League 2020/2021,GBM_LOC,3117,356,0.2979842414075427,0.08634231684620063,0.0014825707162322427,0.01630816898135312,0.1011679151113215,0.016322597417519836,0.7801104061791648,-0.06482421747429443,0.9947775265732187,0.952101734235046
loco_sub,FA Women's Super League 2020/2021,GBM_GEO,3117,356,0.2840522173030592,0.08184586997963482,0.002020543242713113,0.0213425883743998,0.1011679151113215,0.016252196756319143,0.8017755332093486,0.009073850591228536,1.0131246730008883,1.0066395139547013
loco_sub,FA Women's Super League 2020/2021,statsbomb_xg,3117,356,0.2839175778182423,0.08084740577680861,0.0016763833717379911,0.02199689270625088,0.1011679151113215,0.014844532979212243,0.7997662058609282,0.02929754076713098,1.0371783844897589,1.0216199508935677
loco_sub,FA Women's Super League 2023/2024,GLM_LOC,3441,399,0.32032396290972165,0.0924168267457451,0.001819467750896489,0.011911821164301992,0.1025091801591506,0.017880790615409155,0.7301735601330742,-0.06055315530556794,0.8754966586867127,0.9541608761706659
loco_sub,FA Women's Super League 2023/2024,GLM_GEO,3441,399,0.30007340112670655,0.08716274854414711,0.0015284670598678801,0.016874898674871366,0.1025091801591506,0.017143861894544834,0.7776995084687391,0.09246041583493501,0.9451533689639957,1.0713132958285523
loco_sub,FA Women's Super League 2023/2024,GBM_LOC,3441,399,0.3175659895861187,0.09194390468235657,0.0017528002081768357,0.01231807568497087,0.1025091801591506,0.017618346306406005,0.7379803057940709,-0.061205268555565726,0.8998321894105829,0.9536823741096444
loco_sub,FA Women's Super League 2023/2024,GBM_GEO,3441,399,0.2969705955244117,0.08622072066565924,0.0015182030651375994,0.017806662558628963,0.1025091801591506,0.014863240501873274,0.7850073902705482,0.10039536363880196,0.9787391264806036,1.0775938290389027
loco_sub,FA Women's Super League 2023/2024,statsbomb_xg,3441,399,0.30059724395291154,0.08666002395480783,0.0016103361184403031,0.01745949232278307,0.1025091801591506,0.013984686767749053,0.7750292891993298,0.09394439855292917,0.9932724567597876,1.0731555537943072
loco_sub,FIFA World Cup 2018,GLM_LOC,1556,129,0.2490102794996494,0.06857757384738171,0.00358087795892785,0.011034968586404209,0.07603166447485807,0.02686356146441461,0.7696175094930005,-0.2676863649518582,0.8363881396276187,0.8154126288433438
loco_sub,FIFA World Cup 2018,GLM_GEO,1556,129,0.23974954931539785,0.06526128148066661,0.0029646586406121,0.01373504163480356,0.07603166447485807,0.02474984363021794,0.7843092518048925,-0.25308553897010383,0.82863749890848,0.8314893693153154
loco_sub,FIFA World Cup 2018,GBM_LOC,1556,129,0.24300188890254282,0.06700536371876299,0.0024874179769861504,0.011513718733081227,0.07603166447485807,0.024641453331326925,0.7802675966819315,-0.23213378967232035,0.947197333509534,0.8340049126409291
loco_sub,FIFA World Cup 2018,GBM_GEO,1556,129,0.23441739573395737,0.06399798807200507,0.002118358446277488,0.014152034849130482,0.07603166447485807,0.01908263307684156,0.7911268286588116,-0.1880023056465144,0.9025665783906648,0.8698869326593529
loco_sub,FIFA World Cup 2018,statsbomb_xg,1556,129,0.23566720339023206,0.06381885264565011,0.0020363376713119358,0.014249149500519892,0.07603166447485807,0.02248580565267081,0.789241809401194,-0.16652701545057585,0.965989315361516,0.8804901298874088
loco_sub,FIFA World Cup 2022,GLM_LOC,1382,150,0.27988490076817657,0.08149990248867126,0.0024563532071467664,0.017714227467707414,0.0967577767492319,0.021147995402882754,0.8040097402597403,0.06598624341912993,1.143391560385551,1.052716219130877
loco_sub,FIFA World Cup 2022,GLM_GEO,1382,150,0.26535624765106036,0.077251173282803,0.003199547071651279,0.022706150538080186,0.0967577767492319,0.020458850174106882,0.8282196969696971,0.12406086472571654,1.0900438379967894,1.0963896788104854
loco_sub,FIFA World Cup 2022,GBM_LOC,1382,150,0.2814510196619875,0.08219493507369705,0.0027482120318812753,0.017311053707416132,0.0967577767492319,0.01865956194271065,0.8015422077922079,0.06105860757903703,1.091745757913356,1.0484566872495107
loco_sub,FIFA World Cup 2022,GBM_GEO,1382,150,0.26409895364537117,0.07698737642789749,0.0030379914962382487,0.02280839181757266,0.0967577767492319,0.020758396323882777,0.8307900432900434,0.09992954456483226,1.0779838509869712,1.075813258408108
loco_sub,FIFA World Cup 2022,statsbomb_xg,1382,150,0.2695830104316363,0.07742587945592373,0.0030359939249776924,0.022367891218285862,0.0967577767492319,0.019375075312970832,0.8170616883116883,0.1341966637525814,1.068259018697278,1.1038796305340786
loco_sub,Frauen Bundesliga 2023/2024,GLM_LOC,3152,367,0.2983534182688401,0.08713019110076595,0.001743512369852221,0.017490452701228315,0.10287713143214204,0.015486594102636449,0.790418209657615,0.07540065856590192,1.0491807383777119,1.0593437147896125
loco_sub,Frauen Bundesliga 2023/2024,GLM_GEO,3152,367,0.2832462320226322,0.08165759111483568,0.0013739124772390032,0.02259345279454536,0.10287713143214204,0.012794195908693337,0.8089140441935436,0.11046258405075329,0.979919332382031,1.0817857936395716
loco_sub,Frauen Bundesliga 2023/2024,GBM_LOC,3152,367,0.2951390693834584,0.08652599320622258,0.0017372786498358744,0.01808841687575534,0.10287713143214204,0.016041453615041886,0.7966006095323821,0.0622821056265313,1.0857999805756404,1.0488383219725188
loco_sub,Frauen Bundesliga 2023/2024,GBM_GEO,3152,367,0.27870794077633804,0.08029739492686205,0.001770539548622982,0.02435027605390297,0.10287713143214204,0.0184190139693466,0.8159065448906412,0.10174736908024594,1.0180118684461072,1.0747632524240582
loco_sub,Frauen Bundesliga 2023/2024,statsbomb_xg,3152,367,0.28617489156318104,0.08194135973255891,0.0021365816754596034,0.023072353375042737,0.10287713143214204,0.01763122156232355,0.8049799676155347,0.10440951623381146,1.0038433501377713,1.077847907388017
loco_sub,Indian Super league 2021/2022,GLM_LOC,2881,298,0.2909497061593144,0.08159996443026128,0.001673507563195592,0.01281078039857289,0.09273723726563858,0.01887813256871155,0.7464857989903004,0.12757963780960588,0.8475722538583536,1.1034823006856018
loco_sub,Indian Super league 2021/2022,GLM_GEO,2881,298,0.2786523562590338,0.07870742592591404,0.0018789210179668697,0.015908732357691413,0.09273723726563858,0.01949947050891432,0.7813010728381494,0.14768313849683357,0.8371235964385809,1.1135544972067113
loco_sub,Indian Super league 2021/2022,GBM_LOC,2881,298,0.28979427204588104,0.08109130239541475,0.0020436187935368583,0.013689553663760692,0.09273723726563858,0.024429338595678193,0.7470749635588397,0.12765321041673788,0.8446414780136021,1.1028338557683446
